,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
51,moree,40,AU,1544670000,36,-29.46,149.84,91.4,17.22
52,poole,75,GB,1544673000,72,50.72,-1.98,42.8,17.22
53,castro,24,CL,1544670000,87,-42.48,-73.76,46.4,3.36
54,cayenne,75,GF,1544671800,83,4.94,-52.33,78.8,9.17
55,cocorit,0,MX,1544673609,91,27.57,-109.96,57.07,1.03
56,iqaluit,90,CA,1544670000,78,63.75,-68.52,17.6,5.82
57,nanortalik,12,GL,1544673611,86,60.14,-45.24,26.33,15.68
58,hambantota,75,LK,1544670600,100,6.12,81.12,78.8,3.36
59,raton,1,US,1544669640,27,36.9,-104.44,44.06,13.87
60,ljutomer,36,SI,1544671800,92,46.52,16.2,28.4,1.12
61,hilo,75,US,1544670960,71,19.71,-155.08,75.92,5.82
62,poum,36,MK,1544673613,72,41.28,20.71,9.23,2.04
63,caxito,0,BR,1544673613,93,-22.65,-42.51,69.31,2.59
64,saldanha,92,PT,1544673614,99,41.42,-6.55,48.61,14.67
65,ngunguru,12,NZ,1544673615,91,-35.62,174.5,67.42,13.89
66,new norfolk,75,AU,1544671800,56,-42.78,147.06,73.4,21.92
67,ponta do sol,44,BR,1544673616,94,-20.63,-46,63.01,3.15
68,korla,,,,,,,,
69,singkang,75,MY,1544670000,83,2.1,102.8,82.4,5.82
70,chuy,0,UY,1544673696,92,-33.69,-53.46,62.92,9.98
71,ariquemes,56,BR,1544673618,91,-9.91,-63.03,76.73,1.92
72,madang,92,PG,1544673619,100,-5.21,145.81,74.39,6.73
73,samusu,,,,,,,,
74,fortuna,0,ES,1544671800,66,38.18,-1.13,53.6,6.93
75,saint-georges,0,CA,1544673610,62,46.12,-70.67,-8.32,2.48
76,sangar,48,RU,1544673620,50,63.92,127.47,-23.94,6.4
77,tuatapere,20,NZ,1544673700,78,-46.13,167.69,64.13,6.85
78,upernavik,64,GL,1544673621,100,72.79,-56.15,20.17,2.26
79,huarmey,12,PE,1544673622,94,-10.07,-78.15,61.16,2.37
80,port elizabeth,1,US,1544673240,81,39.31,-74.98,35.96,4.61
81,nyaunglebin,36,MM,1544673702,93,17.95,96.73,76.64,5.73
82,sumenep,76,ID,1544673623,100,-7.02,113.87,83.48,7.74
83,arraial do cabo,0,BR,1544673624,93,-22.97,-42.02,74.08,12.21
84,lokosovo,80,RU,1544673624,85,61.13,74.84,10.54,6.73
85,thompson,90,CA,1544670000,92,55.74,-97.86,21.2,9.17
86,nicoya,0,CR,1544670000,61,10.15,-85.45,78.8,8.05
87,roald,0,NO,1544671200,100,62.58,6.12,32,10.29
88,san patricio,20,PY,1544673627,66,-26.98,-56.83,81.64,3.71
89,kaitangata,20,NZ,1544673627,77,-46.28,169.85,61.66,18.7
90,cherskiy,32,RU,1544673628,48,68.75,161.3,-22.9,4.38
91,faanui,64,PF,1544673628,100,-16.48,-151.75,82.94,5.95
92,puerto ayora,80,EC,1544673629,100,-0.74,-90.35,74.44,10.42
93,klaksvik,56,FO,1544671200,87,62.23,-6.59,46.4,21.92
94,zolotinka,,,,,,,,
95,lebu,0,ET,1544670000,87,8.96,38.73,50,10.29
96,college,90,US,1544671440,84,64.86,-147.8,6.8,4.61
97,yellowknife,90,CA,1544672760,78,62.45,-114.38,8.6,10.29
98,pevek,64,RU,1544673631,100,69.7,170.27,-13.45,2.15
99,geraldton,90,CA,1544672280,92,49.72,-86.95,26.6,4.7
100,vila velha,75,BR,1544670000,74,-3.71,-38.6,82.4,16.11
101,bethel,1,US,1544669760,91,60.79,-161.76,8.06,10.29
102,illoqqortoormiut,,,,,,,,
103,nome,90,US,1544673180,83,30.04,-94.42,62.96,9.17
104,isangel,88,VU,1544673633,100,-19.55,169.27,77.63,12.1
105,yeppoon,75,AU,1544671800,62,-23.13,150.74,84.2,8.05
106,tuktoyaktuk,75,CA,1544670000,76,69.44,-133.03,-5.81,18.34
107,tomatlan,32,MX,1544673635,88,19.93,-105.25,68.59,2.82
108,coquimbo,0,CL,1544670000,82,-29.95,-71.34,59,4.7
109,avarua,75,CK,1544670000,65,-21.21,-159.78,78.8,5.82
110,ayan,36,TR,1544673636,91,40.67,33.6,22.24,3.6
111,cape town,40,ZA,1544670000,82,-33.93,18.42,57.2,4.7
112,katsuura,40,JP,1544671500,66,33.93,134.5,50,8.05
113,khatanga,76,RU,1544673637,75,71.98,102.47,10.49,15.9
114,srednekolymsk,24,RU,1544673637,13,67.46,153.71,-37.53,2.48
115,road town,20,VG,1544669580,81,18.42,-64.62,78.08,6.93
116,ancud,64,CL,1544670000,87,-41.87,-73.83,46.4,3.36
117,luderitz,0,NA,1544673638,81,-26.65,15.16,60.44,17.69
118,pineville,75,US,1544673240,83,31.32,-92.43,57.02,4.7
119,goderich,80,CA,1544673639,90,43.74,-81.71,33.31,18.14
120,stornoway,,,,,,,,
121,barentsburg,,,,,,,,
122,sundern,64,DE,1544673000,88,51.33,8.01,32,8.05
123,nizhneyansk,,,,,,,,
124,pangnirtung,0,CA,1544673640,73,66.15,-65.72,-6.12,6.06
125,paamiut,80,GL,1544673640,98,61.99,-49.67,30.61,10.76
126,nikolskoye,90,RU,1544671800,92,59.7,30.79,32,11.18
127,porbandar,0,IN,1544670000,37,21.64,69.61,69.8,9.17
128,kortkeros,75,RU,1544671800,100,61.81,51.56,23,4.47
129,barrow,0,AR,1544673641,53,-38.31,-60.23,66.2,11.43
130,port hedland,0,AU,1544671800,24,-20.31,118.58,104,12.75
131,grand gaube,40,MU,1544670000,74,-20.01,57.66,80.6,6.93
132,pakxe,0,LA,1544670000,57,15.12,105.78,80.6,6.93
133,ribeira grande,24,PT,1544673643,100,38.52,-28.7,62.38,14.56
134,bonavista,76,CA,1544673643,100,48.65,-53.11,30.56,22.28
135,kamenskoye,,,,,,,,
136,san quintin,0,PH,1544673644,62,17.54,120.52,82.18,11.43
137,castilho,8,BR,1544673644,70,-20.87,-51.49,77.63,3.49
138,othonoi,,,,,,,,
139,saskylakh,36,RU,1544673644,70,71.97,114.09,-4.99,11.21
140,pakxan,0,LA,1544673645,64,18.39,103.66,67.33,2.71
141,lorengau,68,PG,1544673645,98,-2.02,147.27,85.46,3.38
142,yumen,0,CN,1544673645,48,40.29,97.04,8.02,7.63
143,kuche,,,,,,,,
144,bengkulu,,,,,,,,
145,kuhestan,,,,,,,,
146,groningen,90,NL,1544671500,86,53.22,6.57,41,8.05
147,havelock,1,US,1544669880,95,34.88,-76.9,44.96,3.6
148,manyana,90,AU,1544671800,100,-35.26,150.51,69.8,11.41
149,panzhihua,0,CN,1544673647,47,26.59,101.72,60.13,2.93
150,mar del plata,8,AR,1544673647,41,-46.43,-67.52,65.21,12.55
151,umzimvubu,,,,,,,,
152,beisfjord,76,NO,1544671200,69,68.38,17.6,35.6,17.22
153,turkistan,,,,,,,,
154,sultepec,76,MX,1544673649,91,20.14,-98.35,49.55,1.59
155,nanchang,92,CN,1544673649,100,28.68,115.89,39.2,5.28
156,tevaitoa,36,PF,1544673649,100,-16.78,-151.5,83.3,5.39
157,burnie,92,AU,1544673650,93,-41.05,145.91,62.83,22.73
158,sanchursk,92,RU,1544673650,91,56.94,47.25,22.28,6.85
159,bolshoye sorokino,,,,,,,,
160,adelaide,75,AU,1544672280,58,-34.93,138.6,59,29.97
161,kez,92,RU,1544673535,86,57.9,53.72,20.39,1.14
162,santiago de cuba,20,CU,1544669760,69,20.03,-75.83,75.38,11.41
163,arganil,92,PT,1544673651,99,40.22,-8.05,50.86,7.85
164,bambous virieux,40,MU,1544670000,74,-20.34,57.76,80.6,6.93
165,liyang,92,CN,1544670000,52,31.42,119.48,41,2.24
166,lompoc,1,US,1544672100,76,34.64,-120.46,55.94,11.43
167,vardo,90,US,1544673180,75,39.62,-77.74,39.02,5.5
168,saurimo,44,AO,1544673653,98,-9.66,20.4,67.06,3.83
169,trairi,48,BR,1544673530,100,-3.28,-39.27,81.28,16.69
170,reinosa,32,ES,1544671800,71,43,-4.14,57.2,19.46
171,jaisalmer,0,IN,1544673479,92,26.91,70.91,49.96,5.61
172,murray bridge,80,AU,1544673654,92,-35.12,139.28,58.46,29.55
173,carnarvon,12,ZA,1544673654,50,-30.97,22.13,47.48,5.28
174,talnakh,80,RU,1544673654,85,69.49,88.39,9.86,17.25
175,bereda,92,ES,1544671800,81,43.27,-7.54,50,10.29
176,kargapolye,,,,,,,,
177,penapolis,8,BR,1544673655,78,-21.42,-50.08,73.72,3.04
178,kodiak,1,US,1544670900,55,39.95,-94.76,37.4,8.05
179,codrington,36,AU,1544670180,46,-28.95,153.24,93.2,11.41
180,trenggalek,24,ID,1544673656,92,-8.05,111.71,80.47,2.93
181,mumford,20,GH,1544673656,97,5.26,-0.76,74.48,3.83
182,harper,1,US,1544672100,89,30.3,-99.24,53.96,5.82
183,ati,0,TD,1544673657,26,13.21,18.34,63.95,9.86
184,portoferraio,75,IT,1544669700,75,42.81,10.31,44.6,9.17
185,amderma,,,,,,,,
186,awbari,0,LY,1544673658,70,26.59,12.77,38.66,3.71
187,ibra,0,OM,1544673658,98,22.69,58.55,48.56,2.15
188,tasiilaq,80,GL,1544669400,74,65.61,-37.64,37.4,26.4
189,yenagoa,64,NG,1544673658,93,4.92,6.26,76.01,5.61
190,ratnagiri,0,IN,1544673659,100,16.98,73.3,76.24,8.75
191,bluff,92,AU,1544673659,50,-23.58,149.07,88.61,10.09
192,acapulco,20,MX,1544669160,78,16.86,-99.88,80.6,5.82
193,mount isa,40,AU,1544671800,32,-20.73,139.49,96.8,3.36
194,namibe,0,AO,1544673660,100,-15.19,12.15,68.99,3.71
195,kapoeta,,,,,,,,
196,totskoye,92,RU,1544673661,91,52.53,52.75,24.53,9.75
197,dapaong,44,TG,1544673661,41,10.86,0.2,70.93,8.08
198,high prairie,0,CA,1544673661,58,55.43,-116.48,27.95,7.4
199,katha,,,,,,,,
200,sorong,44,ID,1544673638,100,-0.86,131.25,82.49,3.71
201,someshwar,92,IN,1544673662,88,29.78,79.6,33.53,2.15
202,maceio,40,BR,1544670000,83,-9.67,-35.74,75.2,3.36
203,launceston,40,AU,1544671800,56,-41.43,147.14,71.6,16.11
204,maraba,40,BR,1544670000,100,-5.35,-49.1,77,2.24
205,santa isabel do rio negro,88,BR,1544673663,100,-0.41,-65.02,72.5,2.71
206,sao joao da barra,32,BR,1544673662,98,-21.64,-41.05,78.8,20.49
207,galle,20,US,1544673060,90,29.74,-97.91,63.86,3.36
208,urumqi,,,,,,,,
209,port blair,64,IN,1544673665,100,11.67,92.75,83.17,22.73
210,bilma,0,NE,1544673665,61,18.69,12.92,44.38,2.71
211,sungaipenuh,56,ID,1544673665,86,-2.08,101.38,74.21,1.48
212,clyde river,40,CA,1544670000,84,70.47,-68.59,1.4,3.36
213,guerrero negro,0,MX,1544673745,94,27.97,-114.04,57.79,9.08
214,auki,0,NG,1544673667,59,12.18,6.51,59.54,3.38
215,saint-philippe,1,CA,1544672100,87,45.36,-73.48,6.8,3.36
216,sakakah,,,,,,,,
217,qasigiannguit,75,GL,1544669400,85,68.82,-51.19,15.8,5.82
218,mikuni,75,JP,1544670000,45,36.22,136.15,46.4,4.7
219,la tuque,0,CA,1544673668,57,47.44,-72.79,-14.44,2.48
220,turukhansk,76,RU,1544673668,79,65.8,87.96,9.46,12.21
221,souillac,90,FR,1544671800,93,45.6,-0.6,44.6,9.17
222,port augusta,75,AU,1544672100,63,-32.49,137.76,60.8,24.16
223,salinas,1,US,1544673240,89,36.67,-121.66,55.04,8.05
224,chapais,1,CA,1544670000,75,49.78,-74.86,-13.01,3.36
225,la ronge,5,CA,1544670000,74,55.1,-105.3,28.4,10.29
226,eureka,40,US,1544672160,92,40.8,-124.16,46.94,5.82
227,broken hill,40,AU,1544670300,32,-31.97,141.45,69.8,35.57
228,kalghatgi,0,IN,1544670000,60,15.18,74.97,69.8,3.6
229,peterhead,75,AU,1544672280,58,-34.83,138.5,59,29.97
230,san ramon,100,NI,1544673673,99,12.92,-85.84,67.19,1.92
231,alice springs,0,AU,1544671800,27,-23.7,133.88,91.4,11.41
232,mahebourg,40,MU,1544670000,74,-20.41,57.7,80.6,6.93
233,east london,12,ZA,1544673674,100,-33.02,27.91,69.58,14
234,tumannyy,,,,,,,,
235,dikson,36,RU,1544673674,92,73.51,80.55,15.76,21.61
236,morros,40,BR,1544670000,94,-2.87,-44.04,78.8,6.93
237,ulladulla,90,AU,1544671800,100,-35.36,150.48,69.8,11.41
238,acucena,48,BR,1544673675,95,-19.07,-42.55,68.14,4.38
239,salamanca,20,ES,1544671800,87,40.97,-5.66,46.4,27.51
240,north bend,40,US,1544669760,96,43.41,-124.22,46.04,3.36
241,okha,8,RU,1544673502,100,53.59,142.95,4.69,11.43
242,narsaq,0,GL,1544673677,51,60.91,-46.05,-5.76,2.15
243,yulara,0,AU,1544670000,26,-25.24,130.99,84.2,12.75
244,ilulissat,75,GL,1544669400,85,69.22,-51.1,15.8,5.82
245,lat yao,48,TH,1544673678,69,15.75,99.79,74.44,5.5
246,kulhudhuffushi,64,MV,1544673678,99,6.62,73.07,83.93,8.63
247,bud,0,NO,1544671200,79,62.91,6.91,32,11.41
248,tilichiki,8,RU,1544673680,60,60.47,166.1,-27.36,3.94
249,roma,40,IT,1544671200,61,41.89,12.48,46.4,9.17
250,robertsport,44,LR,1544673680,100,6.75,-11.37,82.85,4.38
251,pontianak,75,ID,1544671800,70,-0.02,109.34,87.8,3.04
252,marystown,64,CA,1544673564,100,47.17,-55.16,29.21,17.25
253,deputatskiy,36,RU,1544673681,8,69.3,139.9,-30.1,2.71
254,vila franca do campo,20,PT,1544671800,81,37.72,-25.43,50,5.82
255,ahuimanu,75,US,1544671440,100,21.44,-157.84,78.08,6.93
256,muborak,8,UZ,1544673683,62,39.25,65.15,38.89,9.64
257,hinton,44,CA,1544673667,47,53.4,-117.57,28.09,8.3
258,san-pedro,8,CI,1544673683,96,4.75,-6.64,75.07,2.26
259,mantua,0,IT,1544673000,68,45.16,10.79,33.8,2.24
260,sarangani,8,PH,1544673684,94,5.4,125.46,84.65,6.85
261,mae ramat,20,TH,1544670000,57,16.98,98.52,80.6,12.75
262,semporna,75,MY,1544670000,70,4.48,118.61,87.8,5.82
263,mamontovo,24,RU,1544673685,86,52.71,81.63,5.32,8.63
264,port hardy,90,CA,1544670000,93,50.7,-127.42,41,5.82
265,paradwip,,,,,,,,
266,araouane,8,ML,1544673686,38,18.9,-3.53,48.83,2.82
267,shelburne,90,CA,1544672880,80,44.08,-80.2,33.8,16.11
268,bukama,88,CD,1544673686,100,-9.2,25.85,66.11,2.93
269,moron,80,VE,1544673687,95,10.49,-68.2,70.12,2.93
270,el tigre,0,VE,1544673687,60,8.89,-64.25,80.15,13.56
271,pombas,0,BR,1544673687,92,-15.9,-54.74,71.96,2.93
272,rawson,0,AR,1544673688,32,-43.3,-65.11,64.18,17.47
273,zhicheng,8,CN,1544673688,64,35.04,112.59,33.26,3.49
274,eyl,0,SO,1544673688,100,7.98,49.82,74.08,16.35
275,ust-koksa,88,RU,1544673689,84,50.27,85.62,10.36,2.59
276,matagami,0,NG,1544673689,38,9.67,8.4,65.26,8.41
277,honningsvag,88,NO,1544673689,98,70.98,25.97,38.44,23.29
278,kennewick,40,US,1544672100,62,46.21,-119.12,44.96,6.93
279,sao filipe,0,CV,1544673690,95,14.9,-24.5,74.53,17.81
280,labuan,75,BN,1544671800,66,5.28,115.24,87.8,4.7
281,geresk,,,,,,,,
282,tsihombe,,,,,,,,
283,sitka,0,US,1544673691,83,37.17,-99.65,34.84,8.75
284,dawlatabad,0,AF,1544673691,60,36.41,64.91,33.71,3.38
285,broome,64,GB,1544671200,75,52.47,1.45,41,9.17
286,penhold,5,CA,1544670000,52,52.13,-113.87,19.4,8.05
287,victoria,75,BN,1544671800,66,5.28,115.24,87.8,4.7
288,ixhuatan,0,MX,1544673693,78,16.36,-94.48,74.93,4.94
289,san cristobal,75,EC,1544670000,100,-0.39,-78.55,55.4,4.7
290,dingle,76,PH,1544673694,76,11,122.67,82.27,15.01
291,bandarbeyla,92,SO,1544673695,100,9.49,50.81,77.77,16.35
292,hutang,92,CN,1544673695,76,29.22,119.85,39.11,3.94
293,ambodifototra,,,,,,,,
294,henties bay,8,NA,1544673695,100,-22.12,14.28,57.2,4.72
295,guanica,40,PR,1544669400,73,17.97,-66.91,75.2,3.36
296,khani,90,GE,1544671800,100,41.96,42.96,42.8,11.41
297,lakes entrance,20,AU,1544673696,85,-37.88,147.99,72.37,6.96
298,poanas,90,MX,1544668800,77,25.77,-103.61,59,9.19
299,montmagny,0,FR,1544671800,92,48.97,2.34,32,9.17
300,barawe,,,,,,,,
301,ye,,,,,,,,
302,kahului,40,US,1544669760,68,20.89,-156.47,78.08,19.46
303,petatlan,20,MX,1544668920,83,17.52,-101.27,78.8,6.06
304,diffa,0,NE,1544673698,29,13.32,12.61,59.59,8.63
305,kondinskoye,92,RU,1544673628,93,59.65,67.41,20.39,5.95
306,shache,0,CN,1544673699,72,38.42,77.24,6.49,3.15
307,bam,0,IR,1544673699,61,29.11,58.36,32.23,4.61
308,otane,76,NZ,1544673700,100,-39.89,176.62,61.88,3.6
309,ahipara,0,NZ,1544673700,80,-35.17,173.16,69.8,10.65
310,kommunisticheskiy,76,RU,1544673700,90,61.68,64.48,19.63,5.61
311,mys shmidta,,,,,,,,
312,dunedin,36,NZ,1544673555,83,-45.87,170.5,59,11.21
313,puri,20,ID,1544671800,79,-7.54,112.45,84.2,6.93
314,pachalum,75,GT,1544670000,77,14.92,-90.66,62.6,13.87
315,alta floresta,32,BR,1544673701,98,-9.87,-56.08,73.36,2.04
316,fiumicino,40,IT,1544673000,61,41.77,12.23,46.4,6.93
317,jucas,68,BR,1544673702,43,-6.53,-39.53,81.64,9.53
318,baoqing,68,CN,1544673702,65,46.32,132.2,8.47,4.27
319,jinchang,0,CN,1544673703,63,38.52,102.19,9.73,2.59
320,pimenta bueno,8,BR,1544673703,95,-11.68,-61.19,73.76,2.26
321,igarka,76,RU,1544673703,85,67.47,86.57,12.34,10.65
322,gat,20,SN,1544671800,68,14.69,-16.54,69.8,16.11
323,khandyga,48,RU,1544673704,68,62.65,135.58,-29.43,2.71
324,coetupo,,,,,,,,
325,balkanabat,0,TM,1544673704,64,39.51,54.36,28.58,2.04
326,omsukchan,12,RU,1544673705,10,62.53,155.8,-33.48,2.71
327,salalah,0,OM,1544669400,53,17.01,54.1,71.6,4.7
328,tianpeng,76,CN,1544673705,100,28.88,112.34,40.64,4.27
329,fort nelson,20,CA,1544670000,92,58.81,-122.69,17.6,2.24
330,strezhevoy,90,RU,1544671800,92,60.73,77.6,15.8,6.71
331,umm kaddadah,0,SD,1544673706,43,13.6,26.69,51.53,11.99
332,belaya kholunitsa,56,RU,1544673706,85,58.84,50.85,19.36,3.71
333,kenai,75,US,1544671920,92,60.55,-151.26,21.92,4.5
334,atikokan,80,CA,1544673574,92,48.76,-91.62,26.51,5.73
335,qaqortoq,8,GL,1544673707,100,60.72,-46.03,21.38,5.73
336,deniliquin,100,AU,1544673708,95,-35.53,144.96,66.88,10.42
337,gravelbourg,0,CA,1544673708,82,49.88,-106.56,27.5,13.67
338,sur,0,OM,1544673708,100,22.57,59.53,71.6,5.5
339,thaton,8,MM,1544673709,94,16.91,97.37,82.13,10.76
340,gigmoto,76,PH,1544673709,100,13.78,124.39,79.43,16.02
341,cabinda,32,AO,1544673709,100,-5.56,12.19,79.12,3.83
342,ugoofaaru,80,MV,1544673710,99,5.67,73,83.48,8.75
343,kokopo,36,PG,1544673710,95,-4.34,152.27,85.42,5.39
344,kruisfontein,8,ZA,1544673710,91,-34,24.73,62.15,10.98
345,port-gentil,68,GA,1544673589,100,-0.72,8.78,77.59,3.6
346,coos bay,40,US,1544669760,96,43.37,-124.22,46.04,3.36
347,awjilah,0,LY,1544673711,79,29.14,21.3,41.45,2.82
348,quirinopolis,32,BR,1544673711,85,-18.45,-50.45,71.47,3.15
349,skelleftea,0,SE,1544671200,84,64.75,20.95,6.8,3.36
350,dinsor,,,,,,,,
351,along,0,IN,1544673712,37,28.17,94.8,57.2,2.04
352,biak,44,ID,1544673792,87,-0.91,122.88,84.61,2.37
353,thinadhoo,100,MV,1544673713,98,0.53,72.93,83.93,13.33
354,kavieng,24,PG,1544673713,100,-2.57,150.8,86.36,4.83
355,fare,36,PF,1544673714,100,-16.7,-151.02,83.3,5.39
356,padang,24,ID,1544673644,100,-0.92,100.36,82.63,5.17
357,flinders,90,AU,1544671800,100,-34.58,150.85,69.8,11.41
358,oslo,90,NO,1544671200,92,59.91,10.74,24.8,1.12
359,opuwo,0,NA,1544673715,49,-18.06,13.84,54.28,4.05
360,severo-kurilsk,24,RU,1544673715,100,50.68,156.12,27.23,11.32
361,bulaevo,64,KZ,1544673716,85,54.91,70.44,8.11,6.73
362,okhotsk,0,RU,1544673716,100,59.36,143.24,-12.1,5.84
363,palamos,75,ES,1544671800,100,41.85,3.13,48.2,2.24
364,nemuro,40,JP,1544670000,53,43.32,145.57,26.6,10.29
365,beyneu,88,KZ,1544673717,92,45.32,55.19,33.49,15.68
366,kremenki,90,RU,1544670000,92,54.51,48.87,23,6.71
367,odweyne,,,,,,,,
368,caravelas,80,BR,1544673718,100,-17.73,-39.27,77.54,10.76
369,pringsewu,68,ID,1544673718,86,-5.36,104.98,81.64,1.7
370,multan,0,PK,1544670600,93,30.2,71.47,46.4,5.17
371,ornskoldsvik,8,SE,1544671200,84,63.29,18.72,8.6,4.7
372,la palma,24,CO,1544673719,92,5.36,-74.39,67.64,2.15
373,duran,88,TR,1544673720,87,41.63,33.9,26.96,4.61
374,bumba,8,CD,1544673720,96,2.18,22.47,69.58,2.15
375,prince rupert,90,CA,1544671080,93,54.32,-130.32,41,11.41
376,nosy varika,56,MG,1544673721,100,-20.58,48.53,77.36,6.62
377,gospic,88,HR,1544673721,87,44.55,15.37,25.39,3.15
378,fairview,75,US,1544673180,58,40.81,-74,39.02,8.05
379,ambilobe,0,MG,1544673722,92,-13.19,49.05,68.99,3.38
380,pitimbu,40,BR,1544670000,88,-7.47,-34.81,75.2,8.05
381,xinan,75,CN,1544671800,54,22.55,113.89,59,12.75
382,hensall,0,GB,1544673000,75,53.7,-1.1,41,11.41
383,ocos,20,GT,1544668800,94,14.51,-92.19,77,10.54
384,atambua,80,ID,1544673724,97,-9.11,124.89,83.44,7.96
385,nenjiang,0,CN,1544673725,54,49.17,125.23,-5.4,4.61
386,da lat,100,VN,1544673725,98,11.95,108.44,67.1,4.83
387,bacolod,68,PH,1544673725,84,10.68,122.95,81.14,10.87
388,galveston,90,US,1544674500,89,40.58,-86.19,37.04,11.41
389,sobolevo,92,RU,1544673726,88,54.43,31.9,28.54,17.81
390,sorland,92,NO,1544673727,100,67.67,12.69,45.41,27.98
391,price,1,US,1544669580,60,39.6,-110.81,28.04,13.87
392,dolores,0,UY,1544673728,89,-33.53,-58.22,66.61,10.42
393,taltal,8,CL,1544673728,98,-25.41,-70.49,56.26,0.25
394,yamada,20,JP,1544670000,26,36.58,137.08,46.4,3.36
395,rafai,0,CF,1544673729,70,4.95,23.92,63.64,6.17
396,cidreira,24,BR,1544673729,89,-30.17,-50.22,70.93,7.74
397,guozhen,48,CN,1544673729,93,29.3,113.14,40.33,3.71
398,mayumba,76,GA,1544673730,98,-3.44,10.65,77.45,3.27
399,marshall,1,US,1544673180,84,39.39,-87.69,41,4.94
400,kazalinsk,,,,,,,,
401,dalbandin,0,PK,1544673646,85,28.9,64.41,38.39,4.72
402,gunjur,0,GM,1544673731,94,13.18,-16.76,75.38,10.09
403,sitio novo do tocantins,,,,,,,,
404,bundaberg,90,AU,1544670000,58,-24.87,152.35,82.4,16.11
405,pafos,,,,,,,,
406,simao,88,CN,1544673732,97,22.76,100.79,58.91,2.48
407,rio gallegos,0,AR,1544670000,58,-51.62,-69.22,57.2,5.82
408,sibu,75,MY,1544670000,74,2.29,111.83,86,3.36
409,hilliard,75,US,1544673300,84,40.03,-83.16,41,6.93
410,whitehorse,75,CA,1544670000,85,60.72,-135.06,17.6,3.36
411,carman,76,CA,1544672100,100,49.51,-98,28.4,8.05
412,havre-saint-pierre,20,CA,1544670000,49,50.23,-63.6,1.4,6.93
